store_nbr,product_nbr,tickets,sales,quantity_dimless
17,12260,5469,5120331,5760
3,269014,339,1589017,279
0,1009927,1,4193,1
0,287501,141,272086,184
6,961021,14,86813,14
18,630583,41,41836,44
6,4107,1100,1315116,1131
10,773042,19,20922,22
15,11639,1098,1270590,1146
9,968866,187,145435,192
13,953077,101,355582,156
0,917296,30,81800,32
19,850964,36,42048,36
17,3351,588,374057,810
10,369140,629,1111104,1104
0,722647,70,87787,87
13,904919,266,294281,265
15,805237,4,43664,4
16,293831,272,169045,361
17,1005606,121,326343,124
17,916656,4368,4619561,4956
4,295139,1637,1261584,1521
7,745,607,435381,612
5,904763,310,1194231,329
5,659808,215,296155,298
2,950053,16,57001,17
13,953363,28,26880,32
10,911575,131,80195,137
6,984812,505,359981,727
10,298911,709,1301189,824
17,546581,1133,977589,1041
0,369027,85,111428,89
9,323478,431,297876,473
0,859988,221,2950900,233
11,5243,620,840715,795
16,291895,651,3387250,735
